,GPT-5.4,GPT-5.3,GPT-5.2,o3,GPT-4o,GPT-4o mini,GPT-3.5 Turbo,Claude Opus 4.6,Claude Sonnet 4.6,Claude Haiku 4.5,Gemini 3.1 Pro,Gemini 2.5 Flash,DeepSeek V3,Llama 3.3 70B,Qwen2.5 7B
35,0.7638888888888888,0.7916666666666666,0.7777777777777778,0.7222222222222222,0.6527777777777777,0.29166666666666663,0.5,0.7916666666666666,0.7777777777777777,0.4444444444444444,0.6944444444444443,0.5555555555555555,0.5277777777777778,0.486111111111111,0.4305555555555555
29,0.6916666666666667,0.6458333333333334,0.6625,0.6416666666666666,0.4958333333333333,0.3958333333333333,0.3833333333333333,0.6791666666666667,0.7166666666666667,0.5875,0.6,0.575,0.4833333333333333,0.4625,0.4125
23,0.6551724137931034,0.7011494252873562,0.7241379310344828,0.6781609195402298,0.4137931034482758,0.3793103448275862,0.367816091954023,0.7126436781609196,0.7931034482758621,0.44827586206896547,0.7126436781609194,0.5517241379310345,0.45977011494252873,0.4252873563218391,0.367816091954023
53,0.6666666666666666,0.6728395061728395,0.6419753086419752,0.6049382716049384,0.4012345679012345,0.2777777777777778,0.345679012345679,0.7222222222222221,0.6666666666666666,0.5370370370370371,0.6111111111111112,0.5000000000000001,0.40740740740740733,0.48148148148148145,0.4012345679012345
41,0.6410256410256411,0.6239316239316239,0.5897435897435898,0.6410256410256411,0.48717948717948717,0.3333333333333333,0.41880341880341876,0.5811965811965812,0.5811965811965811,0.5299145299145298,0.5811965811965812,0.5811965811965812,0.46153846153846145,0.4444444444444444,0.39316239316239315
27,0.6535947712418301,0.6274509803921569,0.65359477124183,0.5882352941176471,0.43790849673202614,0.35947712418300654,0.37254901960784315,0.6013071895424836,0.6274509803921569,0.5359477124183006,0.5620915032679739,0.49019607843137253,0.4705882352941176,0.4248366013071895,0.3333333333333333
19,0.6666666666666666,0.6428571428571429,0.634920634920635,0.5992063492063492,0.44047619047619047,0.38888888888888884,0.38888888888888884,0.6230158730158731,0.6388888888888888,0.5634920634920634,0.6031746031746031,0.4206349206349206,0.39285714285714285,0.3650793650793651,0.3412698412698412
15,0.7077625570776256,0.5936073059360731,0.5707762557077625,0.49771689497716887,0.4155251141552511,0.4931506849315068,0.34703196347031967,0.6210045662100457,0.6712328767123288,0.4794520547945205,0.5205479452054794,0.497716894977169,0.4155251141552511,0.3926940639269406,0.410958904109589
17,0.5878787878787878,0.5818181818181818,0.5454545454545454,0.5333333333333333,0.41212121212121205,0.5454545454545454,0.43636363636363634,0.5757575757575758,0.5818181818181818,0.503030303030303,0.5636363636363636,0.43030303030303024,0.4545454545454545,0.43636363636363634,0.41818181818181815
33,0.6511627906976745,0.6744186046511628,0.6124031007751938,0.5116279069767442,0.4186046511627907,0.3023255813953488,0.3023255813953488,0.7364341085271318,0.6434108527131783,0.5813953488372092,0.6511627906976745,0.4728682170542635,0.37209302325581395,0.34108527131782945,0.32558139534883723
51,0.6729559748427673,0.6729559748427671,0.6226415094339622,0.5157232704402516,0.4968553459119497,0.32704402515723274,0.25786163522012573,0.641509433962264,0.6477987421383649,0.5849056603773586,0.5786163522012578,0.49685534591194974,0.35849056603773577,0.37735849056603776,0.3144654088050315
13,0.5555555555555555,0.5641025641025641,0.6153846153846154,0.5384615384615385,0.4700854700854701,0.38461538461538464,0.3675213675213675,0.6495726495726496,0.6410256410256411,0.5213675213675212,0.5726495726495726,0.5470085470085471,0.37606837606837606,0.3418803418803419,0.3675213675213675
25,0.5576923076923077,0.5705128205128205,0.5641025641025641,0.48717948717948717,0.4423076923076923,0.38461538461538464,0.3141025641025641,0.641025641025641,0.641025641025641,0.5064102564102563,0.46794871794871795,0.5384615384615384,0.391025641025641,0.40384615384615385,0.28205128205128205
47,0.5555555555555556,0.5714285714285714,0.492063492063492,0.5767195767195766,0.39153439153439157,0.37037037037037035,0.328042328042328,0.6031746031746031,0.5132275132275131,0.48677248677248675,0.5714285714285714,0.5238095238095238,0.4021164021164021,0.3915343915343915,0.39682539682539675
11,0.5855855855855856,0.6216216216216216,0.5855855855855855,0.5585585585585586,0.42342342342342343,0.2882882882882883,0.2882882882882883,0.5675675675675675,0.5945945945945946,0.4864864864864864,0.5585585585585586,0.6396396396396397,0.3153153153153153,0.2972972972972973,0.26126126126126126
43,0.5932203389830508,0.5480225988700564,0.4915254237288136,0.5141242937853107,0.48022598870056493,0.36723163841807904,0.3615819209039548,0.632768361581921,0.5254237288135594,0.5649717514124294,0.5310734463276835,0.4124293785310734,0.37853107344632764,0.3728813559322034,0.2711864406779661
21,0.6274509803921569,0.5607843137254902,0.5490196078431372,0.44313725490196076,0.4235294117647058,0.3529411764705882,0.2901960784313726,0.592156862745098,0.5803921568627449,0.4274509803921568,0.5058823529411764,0.4549019607843136,0.403921568627451,0.35686274509803917,0.34117647058823525
37,0.5757575757575758,0.5454545454545454,0.5757575757575758,0.44444444444444436,0.45454545454545453,0.45454545454545453,0.3131313131313131,0.6868686868686869,0.4949494949494949,0.4444444444444444,0.5151515151515151,0.3434343434343434,0.30303030303030304,0.2323232323232323,0.39393939393939387
49,0.5151515151515151,0.5151515151515151,0.4646464646464646,0.4646464646464646,0.42424242424242425,0.43434343434343436,0.3131313131313131,0.6060606060606061,0.47474747474747475,0.4444444444444444,0.4949494949494949,0.42424242424242425,0.36363636363636365,0.404040404040404,0.3333333333333333
39,0.585858585858586,0.505050505050505,0.48484848484848486,0.42424242424242425,0.3434343434343434,0.30303030303030304,0.27272727272727276,0.5959595959595959,0.4545454545454545,0.42424242424242425,0.5353535353535354,0.37373737373737376,0.25252525252525254,0.3232323232323232,0.30303030303030304
45,0.3333333333333333,0.16666666666666666,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
